scenario_id,FractureAgent,LLaMA-3.1-8B-FT,GPT-4o_5shot,GPT-4o_0shot,Qwen3.5_base,Static
s000,1,1,0,1,1,0
s001,1,1,1,1,1,1
s002,1,1,1,0,0,1
s003,1,0,1,1,1,0
s004,1,0,0,1,0,0
s005,1,1,1,1,1,0
s006,1,1,1,1,0,0
s007,1,1,0,1,1,0
s008,1,0,1,1,0,1
s009,1,1,1,0,0,1
s010,1,1,1,1,1,1
s011,1,1,0,1,0,1
s012,1,1,1,0,1,1
s013,1,0,1,1,1,1
s014,1,1,0,1,0,0
s015,1,1,1,1,0,0
s016,1,0,0,1,0,0
s017,1,1,1,1,1,1
s018,1,1,0,1,1,1
s019,1,1,0,0,1,1
s020,1,1,1,1,1,0
s021,0,1,1,1,0,1
s022,1,0,1,1,0,0
s023,1,1,1,1,1,1
s024,1,1,0,1,1,1
s025,1,1,1,1,1,0
s026,1,1,1,1,1,0
s027,1,1,1,0,1,0
s028,1,1,1,1,0,1
s029,1,1,0,1,0,1
s030,1,0,1,1,1,0
s031,1,0,0,0,0,1
s032,1,1,0,1,0,0
s033,1,1,1,0,1,0
s034,1,1,1,1,0,1
s035,1,1,0,1,0,1
s036,1,0,1,0,1,0
s037,1,1,1,0,0,1
s038,1,1,1,1,1,1
s039,1,0,0,0,1,1
s040,1,1,0,1,1,0
s041,1,0,1,1,0,1
s042,1,1,1,1,1,1
s043,1,1,1,1,1,1
s044,1,0,1,1,0,1
s045,1,1,1,0,1,1
s046,1,1,1,1,0,0
s047,1,1,1,1,0,0
s048,1,1,0,1,1,1
s049,1,1,1,1,1,1
s050,1,0,1,1,1,1
s051,1,1,1,1,1,0
s052,1,0,0,1,1,0
s053,1,1,0,0,0,1
s054,1,1,1,0,1,1
s055,1,1,1,1,0,0
s056,1,1,1,1,0,1
s057,1,1,0,1,0,0
s058,1,1,0,1,0,1
s059,1,1,1,0,0,1
s060,1,1,1,0,1,1
s061,1,1,1,1,1,1
s062,1,0,1,0,1,1
s063,1,0,1,1,1,0
s064,1,1,1,1,1,1
s065,1,1,0,1,0,0
s066,1,1,1,1,1,0
s067,0,1,1,1,0,1
s068,1,1,1,0,0,0
s069,1,0,1,1,1,1
s070,1,1,1,1,1,1
s071,1,1,1,1,1,0
s072,0,1,1,1,0,1
s073,1,1,0,1,1,0
s074,1,1,1,1,1,1
s075,1,1,1,1,0,1
s076,1,1,1,1,0,1
s077,1,1,1,0,1,0
s078,1,1,0,1,0,0
s079,1,0,1,1,1,1
s080,1,1,1,1,0,0
s081,1,1,1,0,1,1
s082,0,0,1,1,0,1
s083,1,0,1,1,1,1
s084,1,0,1,1,0,0
