scenario_id,confidence,correct,hallucinated
s000,0.75,1,0
s001,0.62,0,0
s002,0.69,0,0
s003,0.97,1,0
s004,0.65,1,0
s005,0.65,1,0
s006,0.65,1,0
s007,0.98,1,0
s008,0.88,1,0
s009,0.81,1,0
s010,0.63,1,0
s011,0.77,1,0
s012,0.83,1,0
s013,0.7,0,0
s014,0.95,1,0
s015,0.68,0,0
s016,0.66,1,0
s017,0.65,0,0
s018,0.61,0,0
s019,0.94,1,0
s020,0.75,1,0
s021,0.87,1,0
s022,0.89,1,0
s023,0.9,1,0
s024,0.86,1,0
s025,0.93,1,0
s026,0.89,1,0
s027,0.83,1,0
s028,0.69,1,0
s029,0.86,0,0
s030,0.94,1,0
s031,0.88,1,0
s032,0.87,1,0
s033,0.95,1,0
s034,0.62,1,0
s035,0.62,0,1
s036,0.76,1,1
s037,0.98,1,0
s038,0.61,0,0
s039,0.6,1,0
s040,0.98,1,0
s041,0.67,1,0
s042,0.72,1,0
s043,0.79,0,0
s044,0.61,0,0
s045,0.65,1,0
s046,0.92,1,0
s047,0.66,0,0
s048,0.68,1,0
s049,0.74,1,0
s050,0.93,0,0
s051,0.79,1,0
s052,0.77,0,0
s053,0.75,1,0
s054,0.71,1,0
s055,0.64,0,0
s056,0.71,1,0
s057,0.74,0,0
s058,0.64,0,0
s059,0.72,0,0
